Vocabulary,Definition,
chị,elder sister,
anh,elder brother,
tôi,I,
cũng,"also, too",
rất,very,
vui,"glad, happy",
được,to have an opportunity,
làm quen,"to meet, be introduced to someone",
với,with,
làm quen với,"to meet, be introduced to someone",
rất vui được làm quen với chị/anh ,nice to meet you,
có,to have,
có ... khong?,question construction,
khoẻ,"fine, well, healthy, strong",
vâng,yes,
cám ơn,to thank,    
còn,"and, as for",
xin lỗi,"to excuse, beg pardon",
tên,name ,
là,to be (linking verb),
gì,what?,
đấy,"there, that",
kia,"there,that",
ai,who?,
báo,newspaper,
mới,"new, recent",